2026-01-22 15:31:40,199 INFO  [main] org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration : H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:./db/roommanagement'
2026-01-22 15:31:40,224 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2026-01-22 15:31:40,228 INFO  [main] com.spring.roommgmt.RoomManagementApplication : Started RoomManagementApplication in 1.597 seconds (process running for 1.859)
2026-01-22 15:31:40,228 WARN  [main] org.springdoc.core.events.SpringDocAppInitializer : SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-01-22 15:31:40,228 WARN  [main] org.springdoc.core.events.SpringDocAppInitializer : SpringDoc /swagger-ui/index.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-01-22 15:44:55,057 INFO  [SpringApplicationShutdownHook] org.springframework.boot.web.embedded.tomcat.GracefulShutdown : Commencing graceful shutdown. Waiting for active requests to complete
2026-01-22 15:44:56,066 INFO  [tomcat-shutdown] org.springframework.boot.web.embedded.tomcat.GracefulShutdown : Graceful shutdown complete
2026-01-22 15:44:56,078 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-22 15:44:56,085 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2026-01-22 15:44:56,088 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2026-01-22 15:46:58,457 INFO  [main] com.spring.roommgmt.RoomManagementApplication : Starting RoomManagementApplication using Java 21.0.9 with PID 9670 (/Users/andy/IdeaProjects/roommgmt/target/classes started by andy in /Users/andy/IdeaProjects/roommgmt)
2026-01-22 15:46:58,457 INFO  [main] com.spring.roommgmt.RoomManagementApplication : No active profile set, falling back to 1 default profile: "default"
2026-01-22 15:46:58,804 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-22 15:46:58,826 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 18 ms. Found 3 JPA repository interfaces.
2026-01-22 15:46:59,025 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2026-01-22 15:46:59,031 INFO  [main] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2026-01-22 15:46:59,031 INFO  [main] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.50]
2026-01-22 15:46:59,050 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2026-01-22 15:46:59,050 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 574 ms
2026-01-22 15:46:59,283 INFO  [main] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-22 15:46:59,294 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2026-01-22 15:46:59,435 INFO  [main] com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection conn1: url=jdbc:h2:file:./db/roommanagement user=ROOT
2026-01-22 15:46:59,436 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2026-01-22 15:46:59,839 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-01-22 15:46:59,961 INFO  [main] org.springframework.data.jpa.repository.query.QueryEnhancerFactory : Hibernate is in classpath; If applicable, HQL parser will be used.
2026-01-22 15:47:00,357 INFO  [main] org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration : H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:./db/roommanagement'
2026-01-22 15:47:00,384 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2026-01-22 15:47:00,388 INFO  [main] com.spring.roommgmt.RoomManagementApplication : Started RoomManagementApplication in 2.125 seconds (process running for 2.443)
2026-01-22 15:47:00,389 WARN  [main] org.springdoc.core.events.SpringDocAppInitializer : SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-01-22 15:47:00,389 WARN  [main] org.springdoc.core.events.SpringDocAppInitializer : SpringDoc /swagger-ui/index.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-01-22 15:52:09,367 INFO  [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-01-22 15:52:31,850 INFO  [SpringApplicationShutdownHook] org.springframework.boot.web.embedded.tomcat.GracefulShutdown : Commencing graceful shutdown. Waiting for active requests to complete
2026-01-22 15:52:33,859 INFO  [tomcat-shutdown] org.springframework.boot.web.embedded.tomcat.GracefulShutdown : Graceful shutdown complete
2026-01-22 15:52:33,869 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-22 15:52:33,872 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2026-01-22 15:52:33,874 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
